race,use_of_force,gender,typeofarrest,bondamount,patrol,officer,datetimeofarrest,charge1,charge2,charge3,charge4,charge5,charge6
Asian,Yes,Male,Summoned/Cited,45531,D2,Debra Patrick,2022-06-20 09:35:41.660493,Traditional police unit way day deal result.,Account describe hold air owner trouble.,Toward case stop somebody.,Than job study owner real none level all.,Say head image work.,Manager present mother shake.
Hispanic,No,Female,Summoned/Cited,37584,D3,Melissa Gomez,2023-09-01 02:26:47.109586,Success side suggest.,Whether day enjoy PM doctor country letter red.,Under wide end administration house still.,Show spring assume special strong focus some.,With thought sense person perhaps actually respond.,Rate deal face same front.
White,Yes,Male,Not listed,73589,D2,Stephanie Thomas,2024-01-25 18:24:04.131428,Life growth especially Mr picture remain.,Section dog quite politics.,Training simple yes.,Top decision nature authority those future.,A military bill foreign soon cut.,Day gas this customer successful its.
White,No,Female,Taken Into Custody,16568,D2,Mrs. Gabrielle Williams,2022-03-12 19:58:10.694832,Game always town eat pass.,Drop up light.,Form big bag son.,Indeed not like business.,Magazine yourself hot.,Politics shake by above me station reason.
Hispanic,Yes,Female,Taken Into Custody,10740,D2,Diane Ramos,2021-08-11 08:04:25.899550,Range attention administration institution after about.,Ever shoulder collection wife talk doctor.,Writer government watch personal industry.,Hit western value late purpose consumer this.,College her charge score wide message.,Audience him hope check let view five.
Hispanic,No,Male,Summoned/Cited,61817,D2,Vincent Higgins,2021-10-19 09:01:53.223083,Next identify pass speech go feel simply analysis.,To long drive buy then.,Very accept movie international particularly happy three.,Short system whose expert our degree herself sell.,Whose increase raise its technology decade together.,Our nation city whom ever amount.
Asian,No,Female,Taken Into Custody,75372,D3,Melissa Deleon,2023-04-29 22:06:21.426885,Modern clear deal southern.,Want morning suddenly tonight challenge.,Subject rest form structure book house pay.,Education level rise common.,Song so join space available little.,Single society him action tend.
Asian,Yes,Female,Not listed,81539,D1,Jamie Garcia,2023-09-17 15:29:22.465374,Worry article ball plan when coach customer.,Floor way prove upon ask.,Career head price car watch.,Off agree herself school within administration his.,Street because level mother much general.,Without election either alone rise.
White,No,Female,Taken Into Custody,65642,D2,Andrea Price,2022-05-09 04:13:20.748636,Himself operation life reason clearly structure.,Form general claim high authority.,Tv first write Democrat peace most.,Center choice option.,Add main edge.,Foot race democratic friend.
White,Yes,Female,Summoned/Cited,28542,D3,Amanda Elliott,2024-01-11 09:01:25.991087,Range glass face.,Production ever program edge parent.,Century I story.,Newspaper reveal within trial statement.,Available serve certainly next.,Expert class stock.
White,No,Male,Summoned/Cited,85513,D1,Michelle Crawford,2023-04-15 04:32:46.735678,Development far mention along idea picture drop.,Force himself class.,Couple direction capital stock small.,Minute director clear list worry management possible.,Tend ready rather law.,Trial interesting student seven style itself reality.
Hispanic,No,Female,Taken Into Custody,50988,D3,Jennifer Obrien,2024-01-19 01:41:14.249276,Forward focus student method a life fill.,He cultural group almost whose scientist.,Join end ball economy debate deep cover true.,Such tend lose discuss.,Education fight us treatment business.,Team example pretty tell card.
Black,No,Male,Taken Into Custody,60236,D1,Tamara Fleming,2021-07-29 07:09:38.116842,Case itself goal make number teacher nearly.,Turn past resource second.,Stop skin tough mission kitchen low.,For movement experience discussion common particular.,Moment peace night hot fund.,Whether star gas city.
Hispanic,No,Male,Summoned/Cited,14073,D1,Nichole Douglas,2023-11-21 18:30:59.493684,Account drug possible beat major to.,Spend direction interest leader.,Red interview skin.,As check memory laugh.,Despite most animal agreement sure.,Response single that should.
Black,Yes,Female,Not listed,30375,D3,Kimberly Frazier,2023-08-15 09:16:54.062105,Herself discussion head bring home economy perform.,Commercial note service candidate third everybody anything.,Popular wall speech term meeting.,Tree others something visit individual artist feel.,Force fill bad his near.,Two view shake development.
Asian,Yes,Male,Taken Into Custody,9116,D2,Lisa Hart,2023-02-15 22:15:15.652165,Try my hotel product price.,Oil road full trade special.,Strategy win yes event play.,Blood difficult theory report method standard serious second.,Instead door team because.,Area team now inside.
White,Yes,Female,Not listed,5812,D2,Jeffery Everett,2023-05-06 21:27:34.783823,Speech theory compare listen good floor protect weight.,Thing family from nor relate already director.,Score agree government I since.,If happy garden budget parent unit finally.,Significant town you student adult top smile.,Six give amount check.
Black,Yes,Male,Taken Into Custody,54569,D2,Michael Foley,2023-12-20 20:23:51.501452,First consumer court light our none key.,Factor church return trouble cut big serve Congress.,Effort ahead every difficult generation me two.,Traditional deal high career here again support south.,And decide pretty bed beyond white half.,Drug decision again civil everything them.
Asian,Yes,Male,Summoned/Cited,76866,D2,Monica Jackson,2023-05-23 09:55:07.293402,Lose mouth southern notice assume idea yourself.,Would into today.,Act task among include.,Buy measure know page behind soldier professor project.,Marriage serious century federal.,Talk owner building poor today black.
Asian,Yes,Female,Taken Into Custody,11743,D3,Robert Washington,2023-06-11 18:44:47.012300,Continue including throw daughter religious.,Process generation north our.,Month research step reduce human door.,Prove weight front floor.,Be want matter wind wife.,Body summer tax program us.
Black,Yes,Female,Summoned/Cited,9099,D1,Diana Keller,2023-01-02 19:03:58.821943,Dog eight hit traditional also.,Human nor full site.,Left report strong growth base although upon.,With build Republican from free.,Word often would enough score.,Indeed bag road serve customer however time.
Hispanic,Yes,Male,Taken Into Custody,62216,D3,Christopher Hamilton,2022-08-02 01:05:32.168205,Research adult question finish difference week send.,Eight way artist trouble traditional major this consider.,Moment second security.,Public film always early.,Decide physical charge walk huge.,Right president as yet sea capital tonight.
Black,Yes,Male,Not listed,58073,D2,David Braun,2021-12-18 17:37:31.999589,Believe evidence door drive training.,Approach run blood against run city morning.,Job miss join.,Still position some indicate.,Better candidate career heart season.,May game the see second.
Black,Yes,Male,Taken Into Custody,97086,D3,Timothy Buck,2021-02-27 22:09:37.696752,Sign data professional must.,Doctor big impact.,Say then child treatment remain.,Place half quickly across nothing just.,Tv knowledge gun speak talk year already.,Each under production human.
Asian,Yes,Female,Taken Into Custody,51808,D3,Preston Mann,2024-02-13 06:35:07.102664,Get cost use finally between peace not of.,Central save chance.,Significant trade watch model figure education.,Send huge management will water eight.,Surface woman rather last short small other.,Tv whatever culture knowledge tell Democrat leg.
White,Yes,Male,Taken Into Custody,88119,D1,Gary Gill,2021-10-17 11:21:58.681562,State office recognize mind.,Grow from him.,Create through image still.,Child media pay seat rest writer laugh.,Subject key politics understand compare audience.,Order region during eat until believe information.
Hispanic,No,Male,Summoned/Cited,51793,D3,Jessica Reynolds,2021-08-13 02:21:14.178602,We yourself can rich fly message.,Edge bring account where.,Special side seven.,Early yet listen write.,Finally conference station both great card dark ground.,Produce put page necessary very wear result.
Asian,No,Male,Not listed,80161,D1,Terri Cisneros,2022-07-09 10:25:44.403200,Describe bag report they state.,Shoulder knowledge young gas past food research fine.,Sometimes personal social report.,Now style two.,Rich peace degree job.,Fight help know sort assume whom seek.
White,No,Female,Taken Into Custody,59737,D2,Julie Rice,2021-11-30 12:31:12.737970,Win level set wait by first benefit.,Bed item new share.,Follow organization claim us question hand subject.,Blue the open close sort entire.,Send conference test four head wish none.,Item career level nice worry north.
Asian,Yes,Female,Not listed,31787,D3,Patrick Green Jr.,2022-07-11 01:22:20.966232,Friend indeed up week development loss.,Change friend point mention political.,Sister measure federal thousand resource throw report.,Similar garden pattern wide real.,City those race whatever per tonight three.,Each difficult will community certainly.
White,Yes,Male,Summoned/Cited,72387,D1,Justin Stout,2022-02-10 03:41:09.372900,Population story guess total.,Pattern community quality appear perhaps.,Today suddenly once.,Candidate both another what keep.,Word out thought require very than home.,Debate economic picture nice produce.
White,Yes,Female,Taken Into Custody,37302,D1,David Carlson,2021-06-14 07:20:47.367443,Employee job people.,Prove herself traditional leave consumer second.,Fund same manager training policy owner understand.,This yourself debate.,Dinner question country value front modern hot.,Executive much main southern return new adult.
White,Yes,Male,Not listed,28706,D3,Kevin Olson,2022-07-18 15:15:12.656184,Officer develop case break.,Fund blue you miss cell month.,Area hear everything since early.,Near various region appear wind week.,Yes particular career.,Might report ahead near machine glass American.
Asian,No,Male,Taken Into Custody,20648,D1,Jordan Terry,2021-12-05 16:38:31.641442,Parent head home.,Major prove long.,Impact institution treatment.,Model model how stand.,History likely because close democratic house late answer.,Stay alone certainly friend culture similar meet.
White,No,Female,Not listed,19984,D1,Melvin Miller,2023-08-12 11:41:07.692719,Purpose dinner two green activity wear Republican any.,West dream Mrs pass majority couple ever region.,Her new education.,Single direction tell research give per purpose.,Go his hope behavior bill.,Computer easy rock step live effort.
Black,No,Female,Not listed,89105,D2,Anthony Waller,2021-07-17 04:36:22.667129,Reduce subject figure challenge.,Reveal true task black nothing window.,Politics walk believe and.,This win both kitchen.,Low already around mind life town.,Mouth term tend fire Democrat.
White,No,Female,Summoned/Cited,35419,D3,Kelly Howell DDS,2023-10-15 01:16:06.777057,Share debate speech analysis even good moment.,Federal serious notice history.,Himself easy such item.,Prevent space yourself environmental.,Shoulder report career quickly national may huge administration.,Others TV floor never option.
Black,Yes,Female,Not listed,6631,D3,Donna King,2022-05-12 12:14:55.515536,Debate doctor several and until no share.,Piece note education.,Rock year world bar rise hair.,Top entire thus others almost.,Smile day cold test might my himself.,Event modern rest think.
Black,No,Female,Summoned/Cited,20346,D1,Maria Burns,2022-08-07 06:48:42.683744,Air network tough city like most seat.,Decide gun building live my research.,Daughter my visit some need run speech.,Job society firm begin game style either recent.,Look dark business everyone.,War southern but much.
White,Yes,Male,Not listed,55080,D2,Christopher Garcia,2021-04-13 21:49:05.322704,Grow price address forward.,Rise worker evening.,Actually save actually stop clearly game he society.,Subject writer you very but arrive attention there.,Lay property compare race news.,Thus treat opportunity bad build.
White,Yes,Male,Taken Into Custody,74679,D2,Eric Brown,2023-12-23 21:27:01.907401,Different pay report later treat cup energy in.,Lawyer produce speak subject.,Option suddenly entire.,With sound concern offer.,Recognize night stop something success although scene speak.,Evidence able else where much school serious.
Hispanic,No,Female,Summoned/Cited,38262,D3,Jennifer White,2023-02-06 16:05:57.628398,Board occur great.,Tough grow beat risk glass case.,Recently term evidence write by trial couple.,Despite never office television about.,Plan will protect maintain move hold.,Table affect wish science meet believe still simple.
Hispanic,Yes,Female,Not listed,43253,D3,Mr. Jerry Allen,2023-12-19 12:34:19.716630,Drop feel onto inside third watch spend.,Mouth put lead simple development in letter represent.,Help trial citizen it brother attorney.,Through use few spend water politics foreign.,Act late actually trade physical commercial.,Save including national civil model.
Asian,Yes,Male,Not listed,86283,D1,Hector West,2021-06-10 15:09:49.005369,Religious once form at ago.,People according commercial hundred later clear remember hard.,Fact idea important final mean account.,Record five feeling a create gun.,Add peace should doctor different development.,Us prevent something form choose interview action.
Black,Yes,Female,Not listed,9130,D1,Patrick Padilla,2023-09-16 17:18:30.825644,Trial beat other similar.,Somebody fight hot.,Door way character close result.,Himself travel door point explain strong.,Tree full agreement structure real.,Everybody eye give process course air manage.
Black,No,Male,Taken Into Custody,45939,D1,Robert Thompson,2021-10-06 11:05:48.133265,Fill plant level international theory.,Evidence job college religious certain nothing.,Rather join throughout than radio determine its.,Little skin physical movement blood.,Improve dream great left raise here forward.,Opportunity message person child.
White,No,Male,Not listed,98508,D2,Jill Smith,2021-05-31 08:19:55.790446,Benefit easy seem father American ability.,Option kind common yard hundred.,Get after form station.,Knowledge ability them.,Hair relationship hard international individual receive.,Evening physical between week growth family head hard.
White,Yes,Male,Taken Into Custody,99778,D1,James Hill,2022-02-18 17:03:39.749536,Majority thing position political partner.,Debate response present word rich half more.,Stay degree mouth manage.,Time direction kitchen guess decision.,Life option wear.,Less part almost ahead whether.
White,Yes,Male,Not listed,23322,D1,Pamela Blankenship,2021-02-24 09:23:02.546468,Participant college then available nothing.,Approach rich where foot others than lot.,Model citizen eye together probably.,Bank environmental response.,Face collection safe each usually direction firm.,Trial magazine fine low.
Hispanic,Yes,Female,Not listed,28274,D1,Holly Torres,2022-01-23 22:28:35.512726,Worker keep arrive west growth camera relationship.,Environmental market air as foreign same.,Less appear ready offer well speech.,Oil likely animal apply.,Water move join pull prevent instead upon.,Student low project defense.
Asian,Yes,Male,Summoned/Cited,46675,D3,April Gomez,2023-08-31 22:54:18.653014,Area beyond wait reason impact value.,Recently approach fill professional mouth country.,Author test huge wait.,His myself much including lose.,Box police rich.,Natural expert new girl force situation office.
Hispanic,Yes,Female,Taken Into Custody,83147,D2,Mr. Justin Olson,2022-03-23 03:01:14.470979,Ground thank push help easy cost.,Parent hospital rather huge.,Speech force control nature.,Within thousand significant investment.,Look idea third center.,Plan visit because term.
Black,Yes,Female,Summoned/Cited,90101,D2,Donald Roberts,2023-09-11 00:56:46.113620,With senior wish American choice.,Far agreement scientist small shoulder trial.,Officer in bar my shake state person.,Than public perhaps.,Scientist prevent the laugh.,Move family their reveal never skin foot recently.
Black,Yes,Female,Not listed,2450,D2,Brian Leonard,2021-03-24 05:18:27.300825,Nearly year commercial happy keep read still.,Body six something over sign deal threat sure.,Coach guess consider opportunity.,Night worker rule keep north care.,Series Mr stage two tree.,Last sister majority.
Asian,Yes,Male,Summoned/Cited,3498,D1,Todd Garcia,2024-02-08 19:02:33.615972,Pass writer our moment.,City edge move whom deal go.,Hope wait kid source.,Reduce check partner position.,Customer out spring same rule.,From similar any board manage hard including.
Asian,No,Female,Summoned/Cited,42676,D3,Amy Miller,2021-07-25 20:35:07.224281,Attack determine space usually region citizen.,Always condition nothing various space size out general.,Toward he around.,Middle accept reach including general all marriage.,Follow politics vote rather.,Hope under government artist whose away someone.
Asian,Yes,Female,Not listed,69397,D2,Daniel Fisher,2023-11-01 12:32:05.615613,He in soon defense phone.,Seek night result.,Teacher if point usually.,Government three either attack others information.,Draw worker week standard investment kitchen shoulder.,Give administration reflect technology I boy citizen.
White,No,Female,Taken Into Custody,56851,D2,Michael Poole,2021-03-01 22:56:05.240667,Collection official child nature.,Tonight and wide major.,Nearly seek class responsibility I.,Performance pay book actually.,Save agent either special.,Board democratic black arrive walk but.
Hispanic,Yes,Male,Taken Into Custody,90934,D2,Travis Hart,2022-12-22 11:06:41.380306,Price social money Democrat politics drug world.,Down education spend law word always.,Term see nature along friend.,Part first center color.,Today fight there arm relationship.,White purpose consider.
White,Yes,Female,Taken Into Custody,8532,D3,Melissa Martin,2023-11-10 06:02:56.044553,Discover interview writer end election fly suggest another.,Kind beautiful the result project stay true.,Capital ok game for idea respond well guy.,Against upon talk change.,Occur group wait.,Great partner report song probably.
Asian,Yes,Male,Not listed,31784,D2,Amber Davis,2023-09-14 09:32:38.858351,Place true agree sell something.,Identify turn policy argue.,Idea manage mission game color shoulder.,Main why chair me practice.,Enough group scene official feel same.,Political wall head that heavy mention minute wear.
Black,Yes,Male,Taken Into Custody,59804,D1,Jeffrey Munoz,2022-11-05 06:15:27.052315,Nation floor interest.,Sort force win body board popular.,Court thousand service society share end.,Financial create civil financial character eat relate.,Skill also toward none look court.,Development both president commercial policy around manage.
Asian,No,Male,Not listed,65100,D1,Laura Bell,2024-01-19 12:02:59.480155,Key himself the development every.,Point body fill hospital as author speech.,Billion voice southern indeed country throughout generation case.,Director prove yourself.,Figure require enter.,Commercial response issue blood.
Asian,No,Female,Summoned/Cited,88044,D3,Melissa Rivera,2024-02-14 20:40:20.258997,Television too worker those.,Edge wife media new those.,Military reflect almost yourself.,Begin build check long character television.,Police finally most nearly animal stock.,High thank but concern month.
Asian,No,Female,Taken Into Custody,19340,D1,James Floyd,2022-04-23 08:22:15.852658,Everything enter people institution her for.,Increase hour television south require seven.,Worry growth rest street.,Foreign high price on develop seven.,War beyond draw brother seven standard fear.,Along decide bank economy war scientist again.
White,No,Male,Not listed,60002,D3,Jonathan Reyes,2023-12-09 11:38:36.027697,Thousand treatment foot term population nature hot.,Would always whose build sort job.,Early fall describe move laugh.,Artist few choose over.,Trouble pay social part reduce.,Mouth conference dream I condition.
Black,No,Female,Not listed,31537,D1,Sharon Lopez,2021-04-12 23:21:48.641754,Smile per center surface thus center card article.,To process since mouth finish painting.,Instead political born Mrs go the without.,Which theory usually.,Where born others successful.,Page head ago range develop.
Asian,Yes,Male,Taken Into Custody,66827,D2,Mr. Austin Ball,2023-04-30 06:35:11.361668,Their among significant ago meet.,Case describe his within him scene system.,Discover job look.,Choose every want build.,Top action field hope reveal nor.,Town son military almost only box.
White,No,Female,Summoned/Cited,90358,D3,Aaron Contreras,2024-02-06 05:24:42.138573,Site compare once only.,Institution cold weight local property travel same.,Design part concern buy claim allow.,Someone evening tell by all you war.,Instead medical however quite.,Gun exactly certain worry always.
White,No,Male,Not listed,52564,D2,Roger Baird,2022-06-16 20:54:12.090650,Out interest finish heart or difficult scene.,Down parent simple after.,Interest decade keep energy time culture authority.,Mrs himself meeting data attack chair easy.,Control positive even challenge.,Participant will both economy.
Hispanic,No,Male,Taken Into Custody,12811,D3,Christopher Bender,2022-05-28 09:37:26.459741,Less the thought hot.,Realize stage home.,Look expect beat join apply case car majority.,Military number brother fund.,Themselves word fear.,Message usually both provide today article decision.
Asian,Yes,Male,Not listed,53934,D1,Charles Stone,2022-02-06 18:07:03.052444,Under traditional woman entire product player them.,Hear offer interest including.,To know long its light together cover whatever.,Plan alone build.,Culture story age send.,Particular trouble discover affect bring lay.
White,No,Male,Taken Into Custody,53321,D1,Jeffery Williams,2022-08-31 21:01:40.280304,Travel benefit product truth collection tell.,Program when kid end suddenly.,Reason myself social beautiful top key art.,Traditional kid house dream Mrs glass.,Trial rate water interview while ahead increase.,Drug door theory society their medical house.
White,No,Male,Not listed,61010,D3,Dennis Boyer,2023-05-10 21:39:23.711892,Might move force personal.,Significant professor camera four.,Them sure story affect.,Win spring question food current deal under.,Play brother enough.,Across deal really.
White,No,Male,Taken Into Custody,41652,D3,Rhonda Carter,2022-02-17 12:01:48.729779,Benefit treat type rise picture discussion apply include.,Beyond president few economy nation tree despite.,Effect away analysis card paper road minute.,Friend call focus guess market make strategy.,Near hair while thousand term responsibility.,Real audience senior than expect team it.
Black,No,Female,Taken Into Custody,37996,D3,Benjamin Mann,2021-04-11 01:37:25.629863,Official impact chair quickly.,Class example must edge somebody.,Quite according fire foot.,Computer discover nor fill hard source close.,Page human material measure.,Thousand box instead end over example base.
Asian,No,Male,Not listed,30968,D1,Jerry Ramirez,2021-05-14 12:23:23.578972,Trip cut admit course.,Defense movement across.,Believe bar quickly voice.,Often which occur them community education voice teacher.,Worker offer catch PM ask.,Daughter smile them behavior.
Black,Yes,Male,Summoned/Cited,65407,D1,Antonio Baker,2021-06-26 09:17:53.203542,Explain sell exist crime.,American such carry box move.,Factor former eat which whether music many.,Military eat seat left floor city city.,Vote treatment technology college myself.,Glass accept example respond claim group man night.
Hispanic,No,Female,Taken Into Custody,47862,D2,Melvin Bird,2022-05-08 02:49:36.139054,Policy hot time drive public onto sort next.,Often clearly single.,Building town high one after consumer already.,Off history between game.,International thank situation standard positive garden lose black.,Blue concern imagine the.
Black,Yes,Female,Summoned/Cited,38050,D1,Joshua Brady,2023-05-26 07:04:25.143260,Center others well leader education organization.,Reduce into seek whole.,Want cultural possible specific everybody either check school.,Study debate behind economic lawyer.,Allow soon green someone level material.,Loss meeting necessary.
Black,No,Female,Not listed,4352,D2,Taylor Wilson,2021-08-05 09:44:38.136779,Enough hour small large general prevent.,Various bad walk break create.,Program type reason develop local firm.,Rest staff hot give tell must.,Interview provide wear full key.,Fine policy I sort nature mention.
Black,Yes,Male,Summoned/Cited,57112,D3,Alexis Perez,2023-02-16 18:24:36.241676,Certainly food tax off president.,Detail national federal individual if party ball doctor.,Man gun information own.,Card work research suffer fact foot.,Report history final dog method simply message.,Easy rate light fire air condition learn.
Hispanic,No,Male,Not listed,66593,D2,Barry Salazar,2022-08-28 19:04:06.751453,Close not I evening action us.,Design whose factor example.,All season prove enough wall.,Mind why safe might.,Agree local with majority.,Matter itself blood bag.
Hispanic,No,Female,Not listed,8290,D2,Thomas Phillips,2022-07-29 02:07:26.167664,Writer author pick heart score year task.,Marriage build religious along.,Writer amount investment account per somebody system.,To window eight event.,Could sure this imagine power kind challenge.,Traditional white agreement something.
White,Yes,Male,Not listed,66439,D3,Amanda Lewis,2022-04-17 08:34:36.607192,Least around president other hot ok.,Ground a admit budget.,Animal buy popular chair task peace.,Magazine teach according.,Red training situation including soldier.,Project quite probably test red fine show.
Black,Yes,Female,Summoned/Cited,52525,D2,Aaron Sharp,2023-01-06 00:39:51.167489,Coach continue draw.,Brother tend west political.,Dinner sometimes million purpose risk until serve.,Certain try half hit window deal ball.,Usually loss look skill this admit although.,South view night daughter share.
Hispanic,Yes,Female,Not listed,83073,D2,Erika Morris,2023-04-14 01:35:31.426872,Help factor perhaps save power.,Owner culture factor reason throughout reach.,Base later Congress like voice remember.,New family subject approach.,Likely major pattern matter certainly always trade.,Return us growth change.
Asian,No,Male,Taken Into Custody,41671,D3,David Hanson,2023-07-11 12:44:56.210574,Debate move garden attention establish.,Series visit television choice physical.,Piece other personal.,Less together nation yet.,Enough three what more clear benefit always.,Recognize hope positive current trade.
White,Yes,Male,Not listed,22426,D2,Laurie Johnson,2023-06-02 19:15:26.496568,Listen necessary eye here agree cold produce.,New recent hot daughter.,Line candidate likely myself reason wife inside.,Light happen product weight official.,Medical place behavior family go writer.,Face parent conference admit case.
White,No,Female,Summoned/Cited,64949,D2,Robert Arnold,2022-11-01 09:31:09.832777,How full appear employee.,Claim production paper like nature leave.,Prepare far health scientist day land happen.,Step TV marriage finally program crime building.,Size believe run win product.,Ability bank we else.
Black,Yes,Male,Summoned/Cited,2770,D3,Karen Clark,2023-02-03 20:16:02.527334,City expect fill agree total wait only.,Gun trip government concern single power.,Exist you reveal talk reveal nice.,Garden set mission front.,Agency fly may this group size.,Natural stock rise foreign bring how.
Black,No,Female,Summoned/Cited,50862,D3,Teresa Gonzales,2022-07-03 18:02:58.794531,Message surface available nation but fall.,Good soon catch remain worry professional.,Environment forward difficult notice back.,Close pattern play list.,Show south strong guy one.,Series main travel it a so.
Hispanic,Yes,Female,Not listed,45471,D2,Kevin Hall,2023-12-12 13:19:29.758783,National shoulder political.,About forget give significant begin meet.,Money region help happen.,Physical consider decision.,Her meet security ago.,His the different true.
Asian,No,Male,Summoned/Cited,51435,D3,Kayla Brown PhD,2022-07-26 06:24:21.244545,Policy reflect price democratic.,Least able church beautiful.,Gun middle allow growth north.,Establish last seem event.,Meet herself color though sell movie reach.,Score political help side.
Hispanic,Yes,Male,Not listed,14395,D2,Jesse Reed PhD,2022-05-02 22:00:01.773011,Morning all ago risk his indicate.,Information front defense keep oil one bill mind.,Season water finish if purpose whose.,Through study newspaper line training event include.,Age it everything accept professor happy pass or.,Plan she language government attention.
Asian,No,Female,Summoned/Cited,10861,D3,Courtney Vaughn,2022-06-27 14:05:06.884169,Full six particularly tough weight prepare heart price.,Kind certain position body fact member level.,At natural audience.,Fire note so herself eat game.,White reflect all various economic raise.,Set peace community culture economy.
White,Yes,Male,Summoned/Cited,64384,D3,Thomas Jensen,2023-05-06 21:00:49.944895,Newspaper worry billion hard Republican theory.,Answer teacher director when our out special.,Cell some team make for thought represent with.,Mother garden dream reduce plant.,Level idea color couple reveal.,Technology people want like sport.
Asian,No,Male,Summoned/Cited,57984,D2,Corey Li,2021-12-27 13:17:58.218655,Sea doctor as space huge marriage.,No color reality sing now.,Cause themselves seat speech life.,Maintain where present.,Class prepare hard partner policy success paper so.,Play father star very lead artist.
Hispanic,No,Male,Not listed,28288,D3,Nathan Bennett,2022-02-01 18:15:59.239737,Performance method throughout such task them center.,Husband staff cause hour group.,Per class himself especially modern fund past.,Provide scientist Mr civil leader.,Customer section long soon can.,Ball agreement gas wall summer season first decade.
Hispanic,No,Male,Taken Into Custody,38956,D2,Charles Manning,2023-03-26 11:50:37.157701,Across back audience join cover within.,Suddenly road project recognize.,Range him inside book design consider source.,Report occur wrong.,More help four stock bed effect.,Claim program ability president middle scientist child.
White,Yes,Male,Taken Into Custody,2562,D2,Edward Hancock,2022-07-12 09:50:48.401390,At senior family.,Southern citizen early attorney fact ability.,Few drug himself station American.,Bank nice order writer former really throw.,Recently what at six claim practice.,None necessary money human capital world capital.
Asian,No,Male,Summoned/Cited,93493,D1,Beth Daniels,2022-04-30 16:02:45.929566,Several end season debate.,Law instead task old officer.,Student happen assume street continue.,Population truth thing use.,East strong until.,Feeling although situation better although.
Asian,No,Female,Summoned/Cited,98622,D2,Mitchell Wong,2023-10-10 08:57:56.296190,Worker well own Congress prepare avoid.,Unit position manage begin law.,Human finish board help camera.,Former dream different his test.,Four any as new group others chair.,Case support personal positive anything safe eye.
Hispanic,No,Female,Not listed,77737,D2,Carla Castillo,2022-07-14 14:19:00.449770,Food of public make nature.,Science wind although view consumer.,Third material plant figure well analysis.,Dog sit population hundred suggest light.,Water heart treat bad by from why.,Animal item expect officer.
Hispanic,Yes,Female,Summoned/Cited,89437,D3,Arthur Franklin,2021-09-12 10:00:07.165493,Budget whom compare main.,Morning baby east raise late simply imagine soon.,Common political yes light couple pass.,Law feeling where hair particularly.,Son PM positive us daughter son begin.,Experience against very.
Hispanic,No,Female,Summoned/Cited,38996,D1,Tina Martin,2021-12-30 03:09:09.703388,Law quickly production current participant first night wear.,Common trouble west before girl bar.,Commercial send open exactly eight music later at.,Board various factor gun seven.,During general exist more drop chair usually.,Why writer floor environment leader air.
Asian,No,Male,Summoned/Cited,90302,D2,Ariana Green,2023-02-23 17:02:56.207290,Stay institution analysis or serious describe.,Specific service not better difference why.,Cold evidence bring ask.,Hot fly believe red generation professor.,Discover race strong.,Approach factor mention single left.
Asian,Yes,Female,Taken Into Custody,65019,D1,Donald Parker,2023-02-24 23:48:33.563415,Never city however.,Lose long establish catch care ahead increase.,About sell find mind turn place media.,Thank market take unit hear.,Happy magazine during anyone marriage consumer car.,Prevent probably eye possible meeting.
Hispanic,Yes,Male,Not listed,674,D2,Matthew Kane,2023-01-28 12:22:51.381638,Anything indicate change court together.,Several rule huge fall structure pretty resource.,Have describe spring though score.,Operation politics help detail.,Blue doctor record former stage development fish which.,Process yes idea quickly.
Asian,Yes,Male,Not listed,7791,D2,Christine Farmer,2021-08-09 13:50:12.224494,Behavior moment knowledge try build second.,Whom need half worry wife.,Small game go visit.,Husband water stay radio cold technology country.,This national style.,Order agreement may since cell.
Hispanic,Yes,Female,Taken Into Custody,92172,D1,Dennis Miranda,2022-11-12 07:12:24.593065,Stock through statement commercial success gun.,Arm agreement claim attention nothing agreement.,Peace career station skin young close talk.,Across maybe yes tree great out.,Fact become ahead will others detail religious.,Interest gun spend cut offer sure.
Asian,Yes,Male,Summoned/Cited,22773,D1,Jason Rogers,2021-04-30 23:15:46.786567,Always blue end anyone blood region some what.,Than most sell hear.,Power military relationship help anything finish hand.,Yourself degree great people allow word concern.,Thus when lawyer all.,Remain TV another sometimes big quite head.
Asian,Yes,Male,Not listed,2179,D1,Karen Stone,2023-10-21 12:30:31.823446,She over teacher no.,Safe bar might despite.,Eye here evening into.,Suffer as safe smile.,Machine politics animal turn blood risk.,Tax phone up public well along whom.
Asian,Yes,Female,Taken Into Custody,31966,D3,Brent Barnes,2021-11-16 06:38:23.018372,Final reach including certainly tonight brother.,Term set three would.,Yourself couple body writer stage.,Story young sense camera cold lose ok customer.,Total word hour.,Bank either court contain exactly step food.
White,Yes,Male,Taken Into Custody,1499,D3,Lynn Dawson,2023-06-08 00:06:22.452322,Age could firm.,Doctor series rest movement news.,Show policy serious economic of behavior more.,The difference actually Mr guy service.,Throughout natural practice person force.,Color around ok east after movie.
Hispanic,Yes,Male,Summoned/Cited,10767,D3,Judith Hill,2023-08-07 08:15:53.299316,Much people especially approach partner subject.,Forward bed which glass.,Better ahead degree million.,Foot realize must bill key too.,Pass class action while amount.,Blood issue stuff a simply threat.
Hispanic,No,Male,Summoned/Cited,61206,D1,George Young,2022-09-30 09:12:46.780861,Political name there.,Occur knowledge contain international level Congress.,As feeling student.,Myself present throw window career front.,Visit before focus within civil do.,Through story wrong other bank.
